txn_id,nameOrig,nameDest,type,amount,txn_datetime,merchant_category,region_name,flag_structuring,flag_outlier,risk_score
8817,C26306809,C354978183,CASH_IN,9536.99,2026-01-16 00:03:00.0000000,Cash Deposit,Mumbai,1,0,High
12526,C1764621691,C640718677,CASH_IN,9891.06,2026-01-22 18:41:32.0000000,Cash Deposit,Mumbai,1,0,High
14084,C700743524,C1059171662,CASH_IN,9525.30,2026-01-23 16:54:14.0000000,Cash Deposit,Delhi,1,0,High
15392,C413898044,C585071267,CASH_IN,9986.79,2026-01-07 14:44:10.0000000,Cash Deposit,Kolkata,1,0,High
17233,C446192935,C1905438596,CASH_IN,9795.85,2026-01-17 16:35:03.0000000,Cash Deposit,Hyderabad,1,0,High
18116,C2076319669,C1468405407,CASH_IN,9858.37,2026-01-10 16:13:47.0000000,Wire Transfer,Kolkata,1,0,High
28390,C364888367,C118241399,CASH_IN,9724.20,2026-01-04 21:09:47.0000000,Cash Deposit,Bangalore,1,0,High
30731,C86863479,C1340345382,CASH_IN,9840.51,2026-01-10 22:27:56.0000000,Cash Deposit,Hyderabad,1,0,High
31703,C197922444,C1274851321,CASH_IN,9827.96,2026-01-25 18:57:27.0000000,Cash Deposit,Hyderabad,1,0,High
35712,C1467762095,C2006403821,CASH_IN,9904.15,2026-01-15 12:56:31.0000000,Cash Deposit,Delhi,1,0,High
36545,C568587284,C647205744,CASH_IN,9625.86,2026-01-15 19:28:50.0000000,Cash Deposit,Ahmedabad,1,0,High
37437,C1378178232,C256030147,CASH_IN,9722.73,2026-01-02 19:30:57.0000000,Cash Deposit,Mumbai,1,0,High
47605,C255497249,C33048594,CASH_IN,9961.87,2026-01-02 18:24:49.0000000,Cash Deposit,Chennai,1,0,High
50924,C1471002350,C2122967975,CASH_IN,9879.74,2026-01-01 08:50:37.0000000,Cash Deposit,Delhi,1,0,High
54539,C601408458,C1206178620,CASH_IN,9637.59,2026-01-08 13:07:06.0000000,Cash Deposit,Chennai,1,0,High
