txn_id,nameOrig,nameDest,type,amount,txn_datetime,merchant_category,region_name,flag_structuring,flag_outlier,risk_score
10,C877487404,C1753867292,CASH_OUT,4162556.00,2026-01-12 11:09:07.0000000,ATM Withdrawal,Bangalore,0,1,Medium
12,C234957990,C1475995578,CASH_OUT,2607790.50,2026-01-12 11:53:41.0000000,ATM Withdrawal,Pune,0,1,Medium
16,C1825605932,C822066250,CASH_OUT,2246118.50,2026-01-12 12:18:44.0000000,ATM Withdrawal,Mumbai,0,1,Medium
18,C805776817,C52020613,CASH_OUT,2554948.50,2026-01-12 12:14:02.0000000,ATM Withdrawal,Delhi,0,1,Medium
22,C808430979,C1601875596,CASH_OUT,1567591.25,2026-01-12 12:09:34.0000000,ATM Withdrawal,Chennai,0,1,Medium
32,C1970217984,C1229385284,CASH_OUT,2392482.75,2026-01-12 13:21:00.0000000,ATM Withdrawal,Hyderabad,0,1,Medium
73,C454501295,C1258227821,TRANSFER,5393228.00,2026-01-12 17:51:23.0000000,Wire Transfer,Pune,0,1,Medium
74,C651730161,C882871292,CASH_OUT,5393228.00,2026-01-12 17:11:46.0000000,ATM Withdrawal,Hyderabad,0,1,Medium
80,C606408866,C1601170327,CASH_OUT,2554663.00,2026-01-12 17:23:13.0000000,ATM Withdrawal,Kolkata,0,1,Medium
98,C1236734783,C2102471265,CASH_OUT,1564952.50,2026-01-12 18:34:19.0000000,ATM Withdrawal,Mumbai,0,1,Medium
100,C1858035274,C915489737,CASH_OUT,1709224.00,2026-01-12 18:39:31.0000000,ATM Withdrawal,Bangalore,0,1,Medium
127,C1140883229,C428749233,TRANSFER,4452001.00,2026-01-12 21:14:24.0000000,Wire Transfer,Bangalore,0,1,Medium
128,C1510732148,C988553635,CASH_OUT,4452001.00,2026-01-12 21:41:43.0000000,ATM Withdrawal,Chennai,0,1,Medium
131,C855788158,C1260877050,TRANSFER,6249266.00,2026-01-12 21:36:30.0000000,Wire Transfer,Ahmedabad,0,1,Medium
132,C435417424,C1577595866,CASH_OUT,6249266.00,2026-01-12 21:24:26.0000000,Wire Transfer,Bangalore,0,1,Medium
146,C372999326,C2116300479,CASH_OUT,2674794.25,2026-01-12 22:52:24.0000000,ATM Withdrawal,Kolkata,0,1,Medium
156,C1828168671,C133275555,CASH_OUT,1796406.63,2026-01-12 23:01:33.0000000,ATM Withdrawal,Delhi,0,1,Medium
159,C1425726290,C1670108631,TRANSFER,7109454.00,2026-01-12 23:28:27.0000000,Wire Transfer,Hyderabad,0,1,Medium
160,C34310706,C615611865,CASH_OUT,7109454.00,2026-01-12 23:56:16.0000000,ATM Withdrawal,Pune,0,1,Medium
168,C959100931,C377873806,CASH_OUT,1905476.25,2026-01-13 00:16:38.0000000,ATM Withdrawal,Ahmedabad,0,1,Medium
188,C594782618,C921928556,CASH_OUT,1454356.75,2026-01-13 02:05:45.0000000,ATM Withdrawal,Ahmedabad,0,1,Medium
200,C1373829253,C1286348462,CASH_OUT,2324907.00,2026-01-13 03:33:28.0000000,ATM Withdrawal,Bangalore,0,1,Medium
208,C1497963652,C1455938350,CASH_OUT,2582733.50,2026-01-13 04:29:31.0000000,ATM Withdrawal,Kolkata,0,1,Medium
216,C161612692,C338472327,CASH_OUT,3731378.25,2026-01-13 06:53:50.0000000,ATM Withdrawal,Pune,0,1,Medium
217,C2147008654,C722948959,TRANSFER,7809302.00,2026-01-13 06:12:14.0000000,Wire Transfer,Mumbai,0,1,Medium
218,C799015840,C1036604265,CASH_OUT,7809302.00,2026-01-13 06:41:07.0000000,ATM Withdrawal,Ahmedabad,0,1,Medium
232,C1092488663,C670879809,CASH_OUT,1748611.25,2026-01-13 07:00:03.0000000,Wire Transfer,Pune,0,1,Medium
237,C1067203186,C1086076552,TRANSFER,4531343.50,2026-01-13 07:08:36.0000000,Wire Transfer,Ahmedabad,0,1,Medium
238,C1462947577,C1069720,CASH_OUT,4531343.50,2026-01-13 07:48:43.0000000,Wire Transfer,Hyderabad,0,1,Medium
247,C68688915,C1379652013,TRANSFER,5591414.50,2026-01-13 08:23:07.0000000,Wire Transfer,Mumbai,0,1,Medium
248,C1864175867,C556373412,CASH_OUT,5591414.50,2026-01-13 08:52:19.0000000,Cash Deposit,Kolkata,0,1,Medium
256,C2110692683,C1822459038,CASH_OUT,3080973.50,2026-01-13 08:52:25.0000000,Cash Deposit,Hyderabad,0,1,Medium
258,C684191207,C189328986,CASH_OUT,3043141.00,2026-01-13 08:03:06.0000000,ATM Withdrawal,Mumbai,0,1,Medium
264,C2068796286,C1607775090,CASH_OUT,2131624.25,2026-01-13 09:32:32.0000000,ATM Withdrawal,Delhi,0,1,Medium
267,C1237857283,C578388393,TRANSFER,5591648.00,2026-01-13 09:23:23.0000000,Wire Transfer,Mumbai,0,1,Medium
268,C1455120619,C2080178799,CASH_OUT,5591648.00,2026-01-13 09:32:20.0000000,Cash Deposit,Chennai,0,1,Medium
270,C239028627,C836881979,CASH_OUT,3105902.50,2026-01-13 09:23:36.0000000,Cash Deposit,Kolkata,0,1,Medium
275,C811562034,C1606899764,TRANSFER,5166729.00,2026-01-13 11:17:19.0000000,Wire Transfer,Ahmedabad,0,1,Medium
276,C371181257,C1648449094,CASH_OUT,5166729.00,2026-01-13 11:13:22.0000000,Cash Deposit,Ahmedabad,0,1,Medium
300,C446736927,C1581175229,CASH_OUT,1788729.75,2026-01-13 14:16:54.0000000,Cash Deposit,Bangalore,0,1,Medium
317,C771544520,C1545277452,TRANSFER,5614246.00,2026-01-13 15:43:31.0000000,Wire Transfer,Pune,0,1,Medium
318,C1340929577,C1754723066,CASH_OUT,5614246.00,2026-01-13 15:05:27.0000000,Wire Transfer,Hyderabad,0,1,Medium
324,C937470096,C363508140,CASH_OUT,1754597.50,2026-01-13 17:55:13.0000000,ATM Withdrawal,Mumbai,0,1,Medium
328,C31072228,C2043561429,CASH_OUT,2321633.50,2026-01-13 17:02:04.0000000,ATM Withdrawal,Hyderabad,0,1,Medium
337,C261172273,C1673497915,TRANSFER,4262592.50,2026-01-13 18:40:55.0000000,Wire Transfer,Kolkata,0,1,Medium
338,C1909269068,C1758624073,CASH_OUT,4262592.50,2026-01-13 18:58:48.0000000,ATM Withdrawal,Pune,0,1,Medium
346,C2044685006,C1035537848,CASH_OUT,2052851.63,2026-01-13 18:19:43.0000000,ATM Withdrawal,Ahmedabad,0,1,Medium
348,C1652159172,C1212506708,CASH_OUT,2343696.75,2026-01-13 19:08:29.0000000,ATM Withdrawal,Ahmedabad,0,1,Medium
358,C1029257629,C1200877577,CASH_OUT,1749325.13,2026-01-13 19:58:49.0000000,ATM Withdrawal,Hyderabad,0,1,Medium
